Label,Category,ENG,PL
Ability_WindRush,Technique,Wind Rush,Uderzenie Wichru
Ability_WindRush_FlavorText,Technique,"A signature technique of Anima warriors, allowing to isolate and duel any perceived threats. It shows the confidence that Anima warriors hold, thinking themselves nigh unbeatable in a 1-on-1 clash.",
Ability_WindRush_Description,Technique,"Dash forward to strike your target, dealing {0}[I] while blowing nearby enemies away. Gain {2}[Sharp] (doubled if interrupting an attack).","Skocz w danym kierunku i uderz cel, zadaj?c {0}[D] obecn? broni? i odpychaj?c innych wrog?w."
Ability_WindRush_DescriptionDetailed,Technique,"Dash towards your target (or aim manually). Interrupt the target to deal {0}[I] ({1}%[I]) with your current weapon, and gain {2}[Sharp] ({3}[Sharp] if the target was attacking). All other nearby enemies are knocked 15m away",
Ability_WindRush_MasteryA_Description,Technique,"Free to cast and deals extra {0}[WS] if used within {2} seconds of a [Dodge]Dodge, [Riposte]Riposte or [Counter]Counter.",
Ability_WindRush_MasteryA_DescriptionDetailed,Technique,"Free to cast and deals extra {0}[WS] ({1}%[WS]) if used within {2} seconds of a [Dodge]Dodge, [Riposte]Riposte or [Counter]Counter.",
Ability_WindRush_MasteryB_Description,Technique,"Dash farther, phasing through enemies and dealing extra {0}[WI].",
Ability_WindRush_MasteryB_DescriptionDetailed,Technique,Deals extra {0}[WI] ({1}%[WI]).\n\nDash is 30% longer and phases through enemies.\n\nTechnique now counts as a [Counter]Roll Forward.,
Ability_WindRush_Ultimate,Technique,Invitation To Duel,
Ability_WindRush_Ultimate_Description,Technique,"Main target is trapped in a wind arena, preventing outside interference.",
Ability_WindRush_Ultimate_DescriptionDetailed,Technique,Main target is trapped in a wind arena for {0} sec (or until defeated).\n\nYou cannot be affected by other enemies (neither attacks nor new effects) for the duration.,
Ability_TempestStrikes,Technique,,Uderzenia Nawa?nicy
Ability_TempestStrikes_FlavorText,Technique,"A simple technique that best shows one's mastery over their weapon. A true master can make separate attacks flow into one, uninterrupted dance.","Prosta technika kt?ra najlepiej pokazuje jak dobrze kto? opanowa? w?adanie swoj? broni?. Prawdziwy mistrz mo?e sprawi?, ?e oddzielne ataki uk?adaj? si? w jeden nieprzerwany taniec."
Ability_TempestStrikes_Description,Technique,"Deal {0}[WI] to enemies ahead, reducing their max [SB] by {2}%.\n\nDeal extra {3}[WI] to [Staggered]Staggered enemies.",Zadaj  {0}[I] i {2}[S] wrogom przed sob?. Mo?e by? powt?rzone a? do w sumie 5 razy w zale?no?ci od zakumulowanych ?adunk?w.
Ability_TempestStrikes_DescriptionDetailed,Technique,"Deal {0}[WI] ({1}%[WI]) to enemies ahead, reducing their max [SB]Stagger Bar by {2}% (up to a max of -{3}[SB]%}.\n\nDeal extra {4}[WI] ({5}%[WI]) to [Staggered]Staggered enemies.",Zadaj  {0}[I] i {2}[S] wrogom przed sob?. Mo?e by? powt?rzone a? do w sumie 5 razy w zale?no?ci od zakumulowanych ?adunk?w.
Ability_TempestStrikes_MasteryA_Description,Technique,Hits consume 1[Sharp]Sharp to deal extra {0}[WS].\n\nConsuming 5[Sharp]Sharp in a row deals extra {2}[WS] on top.,Zwi?ksz maksymaln? ilo?? ?adunk?w do 10. 10-te uderzenie zadaje 3x [D]Obra?e?.
Ability_TempestStrikes_MasteryA_DescriptionDetailed,Technique,Hits consume 1[Sharp]Sharp to deal extra {0}[WS] ({1}%[WS]).\n\nConsuming 5[Sharp]Sharp in a row (Spending 5[E] to use this Technique uninterrupted) deals another extra {2}[WS] ({3}%[WS]).,Zwi?ksz maksymaln? ilo?? ?adunk?w do 10. 10-te uderzenie zadaje 3x [D]Obra?e?.
Ability_TempestStrikes_MasteryB_Description,Technique,"Automatically [Counter]Counter frontal attacks and projectiles, dealing extra {0}[WS] and giving 1[Sharp]Sharp.",Udane riposty automatycznie generuj? 1 ?adunek. Udane kontry automatycznie generuj? 2 ?adunki.
Ability_TempestStrikes_MasteryB_DescriptionDetailed,Technique,"Automatically [Counter]Counter attacks and projectiles, dealing extra {0}[WS] ({1}%[WS]) and giving 1[Sharp]Sharp.\n\nDoes not work against attacks or projectiles coming from behind you.\n\nDoes not work on [Unstoppable]Unstoppable attacks.",Udane riposty automatycznie generuj? 1 ?adunek. Udane kontry automatycznie generuj? 2 ?adunki.
Ability_TempestStrikes_Ultimate,Technique,Tempest Fury,
Ability_TempestStrikes_Ultimate_Description,Technique,"Strike up to {0} times, speeding up with each hit.\n\nDeal extra {3}[WS] for each unique attack you have [Riposte]Riposted or [Counter]Countered this combat.",Zadaj  {0}[I] i {2}[S] wrogom przed sob?. Przytrzymaj przycisk by powt?rzy? do 20 razy w zale?no?ci od zgromadzonych ?adunk?w. Ka?de uderzenie zwi?ksza pr?dko?? techniki o {5}% i daje {6}[Analysis]Analizy.
