Label	Category	ENG	PL
Ability_WindRush	Technique	Wind Rush	Uderzenie Wichru
Ability_WindRush_FlavorText	Technique	A signature technique of Anima warriors, allowing to isolate and duel any perceived threats. It shows the confidence that Anima warriors hold, thinking themselves nigh unbeatable in a 1-on-1 clash.	
Ability_WindRush_Description	Technique	Dash forward to strike your target, dealing {0}[I] and {2}[S] while blowing nearby enemies away. Gain {4}[Sharp] (tripled if interrupting an attack).	Skocz w danym kierunku i uderz cel, zadając {0}[D] obecną bronią i odpychając innych wrogów.
Ability_WindRush_DescriptionDetailed	Technique	Dash toward your target (or aim manually). Interrupt the target to deal {0}[I] ({1}%[I]) and {2}[S] ({3}%[S]) with your current weapon, and gain {4}[Sharp] ({5}[Sharp] if the target was attacking). All other nearby enemies are knocked 15m away.	Skocz w kierunku obecnego celu (jeśli cel nie jest zaznaczony, kierunek może być manualnie wybrany). Uderz obecną bronią, zadając {0}[I]Injury ({1}%[I]) i {2}[S]Stagger ({3}%[I]). Wszyscy wrogowie poza celem są odepchnięci o 5 metrów.
Ability_WindRush_MasteryA_Description	Technique	Costs 0 [E]Energy and inflicts an extra {0}[S] if used within 2 seconds of a Dodge, Parry, or Counter.	
Ability_WindRush_MasteryA_DescriptionDetailed	Technique	If cast within 2 seconds of a successful Dodge, Parry, or Counter, this technique costs 0 [E]Energy and inflicts an additional {0}[S] ({1}%[S]).	
Ability_WindRush_MasteryB_Description	Technique	Grants invulnerability, inflicts an extra {0}[I], and repositions you directly behind the struck target.	
Ability_WindRush_MasteryB_DescriptionDetailed	Technique	Grants invulnerability throughout the dash and deals an additional {0}[I] ({1}%[I]). You immediately phase behind the struck enemy, automatically pivoting to face their back.	
Ability_WindRush_Ultimate	Technique	Invitation To Duel	
Ability_WindRush_Ultimate_Description	Technique	Dash and strike for {0}[I] and {2}[S]. Traps the target in a wind arena that pulls them to the center and deals {4}[S]/sec.	
Ability_WindRush_Ultimate_DescriptionDetailed	Technique	Dash and strike the target to deal {0}[I] ({1}%[I]) and {2}[S] ({3}%[S]) with your current weapon, blowing away all other enemies. Creates a wind arena for {6} seconds (or until the target is defeated) that pulls the target into the center, dealing {4}[S] ({5}%[S]) per second.	
Ability_TempestStrikes	Technique	Tempest Strikes	Uderzenia Nawałnicy
Ability_TempestStrikes_FlavorText	Technique	A simple technique that best shows one's mastery over their weapon. A true master can make separate attacks flow into one, uninterrupted dance.	Prosta technika która najlepiej pokazuje jak dobrze ktoś opanował władanie swoją bronią. Prawdziwy mistrz może sprawić, że oddzielne ataki układają się w jeden nieprzerwany taniec.
Ability_TempestStrikes_Description	Technique	Deal medium [WD]Damage to enemies ahead, and repeat up to 5 times based on accumulated stacks.	Zadaj  {0}[I] i {2}[S] wrogom przed sobą. Może być powtórzone aż do w sumie 5 razy w zależności od zakumulowanych ładunków.
Ability_TempestStrikes_MasteryA_Description	Technique	Increase max stacks to 10.\n\n10th strike deals triple [D]Damage.	Zwiększ maksymalną ilość ładunków do 10. 10-te uderzenie zadaje 3x [D]Obrażeń.
Ability_TempestStrikes_MasteryB_Description	Technique	[Riposte]Ripostes give 1 extra stack.\n\n[Counter]Counters give 2 extra stacks.	Udane riposty automatycznie generują 1 ładunek. Udane kontry automatycznie generują 2 ładunki.
Ability_TempestStrikes_Ultimate	Technique	Tempest Fury	
Ability_TempestStrikes_Ultimate_Description	Technique	Deal medium [WD]Damage to enemies ahead, and repeat up to 20 times based on accumulated stacks.\n\nSpeeds up with each strike and gives {6}[Analysis]Analysis per hit.	Zadaj  {0}[I] i {2}[S] wrogom przed sobą. Przytrzymaj przycisk by powtórzyć do 20 razy w zależności od zgromadzonych ładunków. Każde uderzenie zwiększa prędkość techniki o {5}% i daje {6}[Analysis]Analizy.
Ability_TempestStrikes_Ultimate_DescriptionDetailed	Technique	Stacks-based Technique ({0} max). Attack enemies in front, dealing {0}[I]Injury ({1}%[I]) and {2}[S]Stagger ({3}%[S]) based on current weapon. Repeat up to 20 times total based on accumulated stacks. Generates extra 1 stack upon Riposte, and 2 stacks upon Counter. 20th strike deals 5x[D]Damage. Each strike increases technique's speed by {5}% and gives {6}[Analysis]Analysis.	Zaatakuj wrogów przed sobą, zadając {0}[I]Zranienia ({1}%[I]) i {2}[S]Zachwiania ({3}%[S]) w zależności od obecnej broni. Może być powtórzone aż do w sumie 20 razy w zależności od zakumulowanych ładunków. Generuje dodatkowy 1 ładunek za Ripostę, oraz 2 ładunki za Kontrę. 20-te uderzenie zadaje 5x[D]Obrażenia. Każde uderzenie zwiększa prędkość techniki o {5}% i daje {6}[Analysis]Analizy.
Ability_Quickdraw	Technique	Quickdraw	Natychmiastowe Cięcie
Ability_Quickdraw_FlavorText	Technique	Although Anima warriors cannot normally boast the explosive speed of the Tonitrui, it is possible to condense energy into a single point of their weapon. The energy is then rapidly released, either in the form of a wind slash or an unstoppable counter-attack.	
Ability_Quickdraw_Description	Technique	Charge and release a wind slash that deals up to {1}[I] and {3}[S]. If hit by melee weapon while charging, instead counter and deal {5}[I] and {7}[S] to that enemy.	
